500 5000
1 24 38
1 25 8
1 34 18
1 92 21
1 106 26
1 215 9
1 234 46
1 256 7
1 264 20
1 274 8
1 288 13
1 292 2
1 404 46
2 6 29
2 91 42
2 99 14
2 108 46
2 207 34
2 284 9
2 300 32
2 384 28
2 457 33
2 477 35
2 498 8
3 42 12
3 61 34
3 206 22
3 222 20
3 267 20
3 370 50
3 403 25
3 445 48
3 488 12
4 53 33
4 77 42
4 126 11
4 137 42
4 159 31
4 232 8
4 287 12
4 291 13
4 311 34
4 410 39
4 420 6
4 469 16
4 486 3
4 493 3
5 34 1
5 104 38
5 279 21
5 328 20
5 329 18
5 406 13
5 443 43
5 490 21
6 10 17
6 50 50
6 55 5
6 88 35
6 118 32
6 195 7
6 224 37
6 250 37
6 420 10
6 448 6
6 492 31
6 496 48
7 41 23
7 61 48
7 109 50
7 196 37
7 204 11
7 355 17
7 395 28
7 438 16
8 91 4
8 100 28
8 213 43
8 224 15
8 290 8
8 356 6
8 377 46
8 421 15
8 439 34
9 162 26
9 163 21
9 234 29
9 235 12
9 285 13
9 310 36
9 371 17
9 384 20
9 451 38
10 25 8
10 36 40
10 80 40
10 188 14
10 353 23
10 384 15
10 469 37
11 9 42
11 34 34
11 46 21
11 52 32
11 190 8
11 219 3
11 240 37
11 245 10
11 337 49
11 464 35
11 494 44
12 21 49
12 296 8
12 440 24
12 487 40
12 495 18
13 39 8
13 51 29
13 175 37
13 182 28
13 226 23
13 404 15
13 412 29
13 422 36
13 446 5
13 493 36
14 15 38
14 39 33
14 82 35
14 107 23
14 135 34
14 156 13
14 163 44
14 199 37
14 214 14
14 222 27
14 253 26
14 265 32
14 275 31
14 292 14
14 299 5
14 322 25
14 352 36
14 384 48
14 430 5
15 64 16
15 70 49
15 79 48
15 87 33
15 132 40
15 194 49
15 200 36
15 245 32
15 268 29
15 305 13
15 343 18
15 497 24
16 78 17
16 92 5
16 100 30
16 140 3
16 204 41
16 240 29
16 316 37
16 376 2
17 5 19
17 7 1
17 110 10
17 145 25
17 188 49
17 196 40
17 205 31
17 241 37
17 243 47
17 255 9
17 329 50
17 359 29
17 383 50
17 392 8
17 422 16
17 473 15
18 34 11
18 45 1
18 101 10
18 142 11
18 420 6
18 423 36
18 441 18
18 446 11
19 15 24
19 18 36
19 90 29
19 101 19
20 18 42
20 55 1
20 122 9
20 138 41
20 170 37
20 177 50
20 209 33
20 272 44
20 275 33
20 276 50
20 449 28
20 457 45
21 22 49
21 49 48
21 95 12
21 130 20
21 174 32
21 197 29
21 219 3
21 409 4
22 98 5
22 150 42
22 163 42
22 172 45
22 173 50
22 175 11
22 193 38
22 228 12
22 278 35
22 327 4
22 492 2
23 53 4
23 62 41
23 86 39
23 262 9
23 330 24
23 353 10
24 114 8
24 142 8
24 297 41
24 386 38
24 449 3
25 58 29
25 81 17
25 109 28
25 193 35
25 211 50
25 239 20
25 265 33
25 266 19
25 375 46
25 471 40
25 477 17
26 48 42
26 59 43
26 78 46
26 99 18
26 123 46
26 169 28
26 195 2
26 382 17
26 383 9
26 393 4
26 398 41
26 402 42
26 416 9
26 491 47
27 9 46
27 107 46
27 108 10
27 314 50
27 318 50
27 331 34
27 479 42
28 47 36
28 65 40
28 66 23
28 131 28
28 144 29
28 173 24
28 213 11
28 216 23
28 287 13
28 313 22
28 344 37
28 346 5
28 356 3
28 397 12
28 463 40
29 41 21
29 54 30
29 75 28
29 91 20
29 132 35
29 134 34
29 199 47
29 255 15
29 314 24
29 357 13
29 361 5
29 426 39
29 427 6
29 438 1
30 6 29
30 79 32
30 197 11
30 211 22
30 324 12
30 347 26
30 380 7
30 390 7
30 395 42
31 6 3
31 8 35
31 25 47
31 97 45
31 100 36
31 103 21
31 180 14
31 272 36
31 298 14
31 329 36
32 5 29
32 10 40
32 88 44
32 95 11
32 154 18
32 236 27
32 310 38
32 343 9
32 379 42
32 410 6
32 426 18
33 66 49
33 171 13
33 177 14
33 219 4
33 252 23
33 261 21
33 270 15
33 310 9
33 358 41
33 436 41
34 52 31
34 116 30
34 127 16
34 140 3
34 157 20
34 271 11
34 317 27
34 322 22
34 386 6
34 418 8
34 459 24
35 2 21
35 58 46
35 189 20
35 211 29
35 236 16
35 261 3
35 291 33
35 292 35
35 333 14
35 377 28
35 487 39
36 35 41
36 157 16
36 160 30
36 204 13
36 291 43
36 379 4
36 384 36
36 439 21
36 496 18
36 500 46
37 87 36
37 99 25
37 142 11
37 173 23
37 211 2
37 223 13
37 373 30
37 415 18
37 440 46
37 458 43
37 478 36
38 156 3
38 287 17
38 292 10
38 380 3
38 449 44
39 84 46
39 168 42
39 269 37
39 350 25
39 371 27
39 409 35
40 64 37
40 148 11
40 178 44
40 230 1
40 238 18
40 329 43
40 332 26
40 346 6
40 363 15
40 396 33
41 97 49
41 134 9
41 180 36
41 202 50
41 241 31
41 247 22
41 251 49
41 294 44
41 301 48
41 310 12
41 358 19
41 414 39
41 421 48
41 429 15
41 437 48
41 451 21
41 500 40
42 22 44
42 65 21
42 115 50
42 137 26
42 308 8
42 320 30
42 338 18
42 426 28
42 456 35
42 464 1
42 495 22
42 499 38
43 96 2
43 109 49
43 123 36
43 203 32
43 256 25
43 385 8
43 400 24
43 431 27
43 440 7
43 470 6
43 486 23
44 14 21
44 139 35
44 151 7
44 241 20
44 245 33
44 256 37
44 273 21
44 303 3
44 412 38
44 445 10
45 209 30
45 252 41
45 284 41
45 395 4
45 417 46
45 497 46
46 35 38
46 80 27
46 182 45
46 201 31
46 274 40
46 290 23
46 429 28
47 71 7
47 95 20
47 171 23
47 186 44
47 232 4
47 288 28
47 295 40
47 298 50
47 309 45
47 319 9
47 354 3
47 363 36
47 374 5
47 465 1
47 473 28
48 42 47
48 109 21
48 228 22
48 291 29
48 346 49
48 453 49
49 95 31
49 109 32
49 113 12
49 256 41
49 285 23
49 293 50
49 326 25
49 346 33
49 442 36
50 24 12
50 64 19
50 120 9
50 126 6
50 182 2
50 246 3
50 283 7
50 321 25
50 406 49
50 408 28
50 414 33
51 16 26
51 74 47
51 82 5
51 95 20
51 153 15
51 182 22
51 306 38
51 443 39
51 459 48
51 494 35
52 13 35
52 125 26
52 212 12
52 241 50
52 243 38
52 343 16
52 401 37
52 411 19
52 455 50
52 492 31
53 55 39
53 161 5
53 196 34
53 230 26
53 282 12
53 288 34
53 342 39
53 405 28
53 429 47
53 468 6
53 480 27
54 26 38
54 163 1
54 164 32
54 189 25
54 230 6
54 251 47
54 291 35
54 359 9
54 436 21
54 485 30
55 67 18
55 86 18
55 92 12
55 153 36
55 203 35
55 281 18
55 371 35
55 425 50
55 495 40
56 8 48
56 65 41
56 124 29
56 127 23
56 146 23
56 203 12
56 238 19
56 252 21
56 355 15
56 398 17
56 428 30
57 64 1
57 68 10
57 70 37
57 85 3
57 181 30
57 188 18
57 262 13
57 274 18
57 285 23
57 303 50
57 324 21
57 372 4
58 107 15
58 196 22
58 205 47
58 403 33
58 421 49
58 427 32
58 449 16
59 25 48
59 64 50
59 90 6
59 214 28
59 258 37
59 282 6
59 290 3
59 387 42
59 393 21
59 469 16
60 12 48
60 46 35
60 56 43
60 137 39
60 200 21
60 250 10
60 272 38
60 297 17
60 299 3
60 334 43
60 390 36
60 393 33
60 405 35
60 425 10
60 470 15
61 4 31
61 25 43
61 43 15
61 88 22
61 164 19
61 167 3
61 182 9
61 249 16
61 288 21
61 305 45
61 383 45
61 404 41
61 407 39
61 463 32
61 478 24
61 488 37
62 196 46
62 287 12
62 300 35
62 319 6
62 341 25
62 377 30
62 426 32
63 133 30
63 139 26
63 153 32
63 168 35
63 175 28
63 318 19
63 347 2
64 2 18
64 43 15
64 49 26
64 88 6
64 124 9
64 177 21
64 276 20
64 419 27
64 461 36
64 495 34
65 45 5
65 60 32
65 68 45
65 75 34
65 133 12
65 138 30
65 140 14
65 158 16
65 180 10
65 427 50
66 41 50
66 87 47
66 93 41
66 137 8
66 144 29
66 146 36
66 188 37
66 207 17
66 236 47
66 347 17
66 373 40
66 405 44
66 479 1
67 3 3
67 16 22
67 105 36
67 300 40
67 333 23
67 337 10
67 410 1
67 412 50
68 249 13
68 264 39
68 293 7
68 378 23
68 384 45
68 458 7
68 485 24
69 35 37
69 128 24
69 138 28
69 144 20
69 167 49
69 217 20
69 368 16
69 410 47
69 474 40
69 475 23
70 19 5
70 119 6
70 126 15
70 175 44
70 202 23
70 218 17
70 227 14
70 284 28
70 364 5
70 440 21
70 453 48
71 81 20
71 123 22
71 210 33
71 251 39
71 354 6
71 381 9
71 424 39
72 74 50
72 160 12
72 190 7
72 256 25
72 299 49
72 380 11
72 386 6
73 52 36
73 84 35
73 109 39
73 112 36
73 148 44
73 180 15
73 257 41
73 260 34
73 439 20
73 442 13
73 488 13
74 44 32
74 152 30
74 266 6
74 279 21
74 302 29
74 365 27
74 465 42
74 478 48
75 27 26
75 68 46
75 73 19
75 82 11
75 99 47
75 133 32
75 180 42
75 313 45
75 384 16
75 418 28
75 455 31
75 462 6
76 82 14
76 131 6
76 193 14
76 213 32
76 462 19
76 465 6
76 489 42
77 32 24
77 105 19
77 115 9
77 242 38
77 290 43
77 303 18
77 342 11
77 386 48
77 422 17
77 442 21
77 445 17
77 471 49
77 477 14
78 31 16
78 110 26
78 151 5
78 176 32
78 266 17
78 296 47
78 423 30
79 7 37
79 22 23
79 40 24
79 65 49
79 67 47
79 142 1
79 214 20
79 246 49
79 302 12
79 318 30
79 319 25
79 328 32
79 409 41
79 429 47
79 449 2
79 494 29
79 499 7
80 6 46
80 65 9
80 105 22
80 159 24
80 225 46
80 307 33
80 371 47
81 18 11
81 113 13
81 127 34
81 155 33
81 183 41
81 256 15
81 321 7
81 403 4
81 423 8
81 440 22
81 478 24
82 24 20
82 196 43
82 290 6
82 453 7
83 26 8
83 27 15
83 145 44
83 266 15
84 5 45
84 9 15
84 89 16
84 97 41
84 134 24
84 153 24
84 158 24
84 161 14
84 164 9
84 294 15
84 343 3
84 374 2
85 15 9
85 42 49
85 72 30
85 129 38
85 169 40
85 178 41
85 184 23
85 218 27
85 336 28
85 359 45
85 362 33
85 395 18
85 444 8
86 7 15
86 50 36
86 124 21
86 132 46
86 156 24
86 231 39
86 238 39
86 271 1
86 358 11
86 490 21
87 101 43
87 115 29
87 164 40
87 208 22
87 247 43
87 253 9
87 260 1
87 282 13
87 289 15
87 302 10
87 420 22
87 466 33
88 17 18
88 28 20
88 130 31
88 147 26
